Volume,Open,Close,High,Low
5297,1.07098,1.06836,1.07126,1.06836
5501,1.0684,1.06918,1.06934,1.06675
5362,1.06916,1.07151,1.07167,1.06898
4075,1.07153,1.06948,1.07164,1.0691
2269,1.06944,1.06946,1.07128,1.06896
1264,1.06948,1.06992,1.07072,1.06936
732,1.06994,1.07034,1.07036,1.06946
1259,1.07036,1.0709,1.07132,1.07032
661,1.07092,1.0705,1.07108,1.07009
294,1.07048,1.07138,1.07142,1.07048
340,1.07114,1.0711,1.07157,1.07088
460,1.07106,1.06968,1.0713,1.0696
900,1.06966,1.07092,1.07095,1.06955
1082,1.07095,1.06989,1.07124,1.06917
1018,1.06987,1.06934,1.06987,1.06886
692,1.06936,1.06978,1.07004,1.06931
605,1.06976,1.06978,1.07,1.06934
890,1.06974,1.06846,1.07003,1.06812
859,1.06848,1.06803,1.06916,1.06786
1356,1.06806,1.0678,1.06855,1.0676
2058,1.06782,1.06914,1.07046,1.06764
1326,1.06912,1.06958,1.06964,1.0685
1461,1.06954,1.06858,1.06964,1.06798
1071,1.06854,1.06871,1.06884,1.06792
1130,1.06868,1.06658,1.06886,1.0665
2951,1.0666,1.06685,1.06736,1.06553
2520,1.06688,1.06842,1.06894,1.0665
2898,1.0684,1.06952,1.0703,1.06806
1996,1.06954,1.06826,1.06962,1.06768
1274,1.06824,1.0683,1.06918,1.06755
1237,1.06832,1.06666,1.06835,1.06638
915,1.06666,1.0672,1.06725,1.06607
4535,1.06723,1.06382,1.06726,1.06303
568,1.0638,1.06293,1.06388,1.06288
406,1.06314,1.06336,1.06354,1.06294
561,1.0634,1.0628,1.06354,1.06244
913,1.06278,1.06256,1.06344,1.06223
982,1.06258,1.0628,1.06328,1.06232
986,1.06278,1.06376,1.06421,1.06272
831,1.06373,1.06388,1.06455,1.06349
436,1.06386,1.06409,1.0643,1.06372
636,1.06406,1.06394,1.0641,1.06325
619,1.06392,1.06422,1.06439,1.06334
1853,1.0642,1.0642,1.0647,1.06326
2248,1.06417,1.06552,1.06554,1.06378
2224,1.06548,1.06608,1.06706,1.06524
1295,1.0661,1.06559,1.06628,1.06535
946,1.06556,1.06642,1.06651,1.06534
1513,1.0664,1.0669,1.06692,1.06576
7563,1.06687,1.06194,1.06766,1.0603
6662,1.06196,1.0591,1.06229,1.05896
4765,1.05912,1.06093,1.0622,1.05895
3666,1.06095,1.063,1.0637,1.06095
2021,1.06296,1.06322,1.06336,1.06148
1913,1.0632,1.06266,1.06414,1.06185
2126,1.06264,1.06599,1.06604,1.06257
1641,1.06596,1.06606,1.06694,1.06552
328,1.06604,1.06644,1.06662,1.06574
580,1.06626,1.06583,1.06663,1.06576
467,1.06587,1.06594,1.06622,1.06563
697,1.06592,1.06539,1.0662,1.06524
1372,1.06536,1.06816,1.06878,1.06536
797,1.06812,1.06774,1.06839,1.06749
872,1.06776,1.06852,1.06936,1.06776
470,1.06848,1.06804,1.0686,1.06782
689,1.06801,1.06725,1.06815,1.06715
838,1.06727,1.06828,1.0686,1.06727
1606,1.06826,1.06721,1.06923,1.06712
2006,1.06718,1.06635,1.06837,1.0661
1919,1.06637,1.06463,1.0667,1.06424
1543,1.0646,1.06372,1.06474,1.06279
1245,1.06374,1.06386,1.06414,1.06288
1249,1.06384,1.06277,1.06466,1.06262
2151,1.06274,1.06567,1.06576,1.06252
2243,1.06564,1.0655,1.06668,1.0652
3009,1.06552,1.06788,1.06836,1.06552
2245,1.06786,1.06792,1.06831,1.06642
9985,1.0679,1.06749,1.06954,1.06636
2619,1.06747,1.06815,1.06834,1.0666
2892,1.06812,1.07052,1.07096,1.06805
1975,1.07048,1.06962,1.07062,1.06896
447,1.06965,1.07012,1.07052,1.06922
172,1.07014,1.07038,1.07063,1.07014
1101,1.07034,1.07128,1.0717,1.07034
1284,1.07132,1.0724,1.07298,1.07095
1104,1.07238,1.07444,1.0745,1.07216
